::ffff:127.0.0.1 - - [30/Jul/2019:11:44:45 +0000] "POST /api/users/login HTTP/1.1" 200 37
::ffff:127.0.0.1 - - [30/Jul/2019:11:44:55 +0000] "POST /api/users/signup HTTP/1.1" 201 159
::ffff:127.0.0.1 - - [30/Jul/2019:11:45:00 +0000] "POST /api/users/login HTTP/1.1" 200 37
::ffff:127.0.0.1 - - [30/Jul/2019:11:46:17 +0000] "POST /api/users/signup HTTP/1.1" 201 211
::ffff:127.0.0.1 - - [30/Jul/2019:11:46:23 +0000] "POST /api/users/login HTTP/1.1" 200 403
::ffff:127.0.0.1 - - [30/Jul/2019:11:47:34 +0000] "GET /api/books/ HTTP/1.1" 200 139
::ffff:127.0.0.1 - - [30/Jul/2019:11:47:55 +0000] "GET /api/users/add_to_cart HTTP/1.1" 500 212
::ffff:127.0.0.1 - - [30/Jul/2019:11:48:02 +0000] "POST /api/users/add_to_cart HTTP/1.1" 400 130
::ffff:127.0.0.1 - - [30/Jul/2019:11:48:30 +0000] "POST /api/users/add_to_cart HTTP/1.1" 403 9
::ffff:127.0.0.1 - - [30/Jul/2019:11:50:45 +0000] "POST /api/users/add_to_cart HTTP/1.1" 401 -
::ffff:127.0.0.1 - - [30/Jul/2019:11:52:02 +0000] "POST /api/users/add_to_cart HTTP/1.1" 401 -
::ffff:127.0.0.1 - - [30/Jul/2019:11:52:37 +0000] "POST /api/users/add_to_cart HTTP/1.1" 401 -
::ffff:127.0.0.1 - - [30/Jul/2019:11:54:33 +0000] "POST /api/users/add_to_cart HTTP/1.1" 401 -
::ffff:127.0.0.1 - - [30/Jul/2019:11:57:11 +0000] "POST /api/users/add_to_cart HTTP/1.1" 401 -
::ffff:127.0.0.1 - - [30/Jul/2019:11:58:08 +0000] "POST /api/users/add_to_cart HTTP/1.1" 200 316
::ffff:127.0.0.1 - - [30/Jul/2019:11:59:03 +0000] "POST /api/users/add_to_cart HTTP/1.1" 401 12
::ffff:127.0.0.1 - - [30/Jul/2019:11:59:19 +0000] "POST /api/users/add_to_cart HTTP/1.1" 401 12
::ffff:127.0.0.1 - - [30/Jul/2019:12:00:13 +0000] "POST /api/users/add_to_cart HTTP/1.1" 200 40
